type,firm_name,contact_name,position,phone,email,linkedin,website,address,state,source_url
firm,Adrian Abrahams Family Lawyers,,,,,,https://www.adrianabrahams.com.au/,"1113 Malvern Rd, Toorak VIC 3144",VIC,https://www.familylaw.com.au/law-practice/adrian-abrahams-family-lawyers/
lawyer,Adrian Abrahams Family Lawyers,Adrian Abrahams,Principal,,,https://www.linkedin.com/company/familylawau/,https://www.adrianabrahams.com.au/,"1113 Malvern Rd, Toorak VIC 3144",VIC,https://www.familylaw.com.au/lawyer/adrian-abrahams/
firm,Advance Family Law,,,,,,https://advancefamilylaw.com/,"215 Brisbane Rd, Biggera Waters QLD 4216",QLD,https://www.familylaw.com.au/law-practice/advance-family-law/
lawyer,Advance Family Law,Joshua Peters,Director,,,https://www.linkedin.com/in/josh-peters-50051bb/,https://advancefamilylaw.com/,"215 Brisbane Rd, Biggera Waters QLD 4216",QLD,https://www.familylaw.com.au/lawyer/joshua-peters/
firm,AFL – Perth,,,,,,https://www.australianfamilylawyers.com.au,,,https://www.familylaw.com.au/law-practice/afl-perth/
lawyer,AFL – Perth,Richard Crane,Principal,,,https://www.linkedin.com/in/richard-crane-10b52a49/,https://www.australianfamilylawyers.com.au,,,https://www.familylaw.com.au/lawyer/richard-crane/
firm,AFL Kordos,,,,bookings@australianfamilylawyers.com.au,,https://www.australianfamilylawyers.com.au/locations/melbourne,"Level 2/326 William St, Melbourne VIC 3000",VIC,https://www.familylaw.com.au/law-practice/afl-kordos/
lawyer,AFL Kordos,Yianni Kordos,Lawyer,,,https://au.linkedin.com/in/yiannikordos,https://www.australianfamilylawyers.com.au/locations/melbourne,"Level 2/326 William St, Melbourne VIC 3000",VIC,https://www.familylaw.com.au/lawyer/yianni-kordos/
lawyer,AFL Kordos,Vasilios Kordos,Lawyer,,,https://au.linkedin.com/in/bill-kordos,https://www.australianfamilylawyers.com.au/locations/melbourne,"Level 2/326 William St, Melbourne VIC 3000",VIC,https://www.familylaw.com.au/lawyer/vasilios-kordos/
firm,AFL Withnalls Lawyers (Darwin),,,,bookings@australianfamilylawyers.com.au,,https://www.australianfamilylawyers.com.au/locations/darwin,"Ground Floor/22 Harry Chan Ave, Darwin City NT 0800",NT,https://www.familylaw.com.au/law-practice/afl-withnalls-lawyers/
lawyer,AFL Withnalls Lawyers (Darwin),Vanessa Farmer,Managing Partner,,,https://au.linkedin.com/in/withnalls-lawyers-25078b224,https://www.australianfamilylawyers.com.au/locations/darwin,"Ground Floor/22 Harry Chan Ave, Darwin City NT 0800",NT,https://www.familylaw.com.au/lawyer/vanessa-farmer/
firm,ALA Law (Amanda Little & Associates),,,,reception@alalaw.com.au,,https://www.alalaw.com.au,"Unit 3, Level 2/9 Tindale St, Penrith NSW 2750",NSW,https://www.familylaw.com.au/law-practice/ala-law/
lawyer,ALA Law (Amanda Little & Associates),Bernadette Melhem,Partner,,,https://www.linkedin.com/company/amanda-little-&-associates/,https://www.alalaw.com.au,"Unit 3, Level 2/9 Tindale St, Penrith NSW 2750",NSW,https://www.familylaw.com.au/lawyer/bernadette-melhem/
lawyer,ALA Law (Amanda Little & Associates),Amanda Helene Little,Managing Director,,,https://www.linkedin.com/company/amanda-little-&-associates/,https://www.alalaw.com.au,"Unit 3, Level 2/9 Tindale St, Penrith NSW 2750",NSW,https://www.familylaw.com.au/lawyer/amanda-helene-little/
lawyer,ALA Law (Amanda Little & Associates),Rosemary Elizabeth Aloisio,Partner,,,https://www.linkedin.com/company/amanda-little-&-associates/,https://www.alalaw.com.au,"Unit 3, Level 2/9 Tindale St, Penrith NSW 2750",NSW,https://www.familylaw.com.au/lawyer/rosemary-elizabeth-aloisio/
lawyer,ALA Law (Amanda Little & Associates),Carli Nicole Heald,Senior Associate,,,https://www.linkedin.com/company/amanda-little-&-associates/,https://www.alalaw.com.au,"Unit 3, Level 2/9 Tindale St, Penrith NSW 2750",NSW,https://www.familylaw.com.au/lawyer/carli-nicole-heald/
firm,Alan Wright Mediation,,,,alan@awmediation.com.au,,https://www.awmediation.com.au,"Eleebana, NSW",NSW,https://www.familylaw.com.au/law-practice/alan-wright-mediation/
lawyer,Alan Wright Mediation,Alan Michael Wright,Principal Solicitor,,,https://au.linkedin.com/in/alan-wright-b887b5242,https://www.awmediation.com.au,"Eleebana, NSW",NSW,https://www.familylaw.com.au/lawyer/alan-michael-wright/
firm,Ali Family Lawyers,,,,admin@alifamilylawyers.com.au,,https://www.alifamilylawyers.com.au,"Three International Towers, Level 24/300 Barangaroo Ave, Barangaroo NSW 2000",NSW,https://www.familylaw.com.au/law-practice/ali-family-lawyers/
lawyer,Ali Family Lawyers,Fadiya Ali,Managing Partner,,,https://au.linkedin.com/in/fadiya-ali-gaicd-26972824,https://www.alifamilylawyers.com.au,"Three International Towers, Level 24/300 Barangaroo Ave, Barangaroo NSW 2000",NSW,https://www.familylaw.com.au/lawyer/fadiya-ali/
firm,Alidenes & Co Solicitors,,,,letschat@alidenes.com.au,,https://www.alidenes.com.au,"508-510 Marrickville Rd, Dulwich Hill NSW 2203",NSW,https://www.familylaw.com.au/law-practice/alidenes-co/
lawyer,Alidenes & Co Solicitors,Amanda Jane Alidenes,Solicitor,,,https://au.linkedin.com/in/amanda-alidenes-a4867b66,https://www.alidenes.com.au,"508-510 Marrickville Rd, Dulwich Hill NSW 2203",NSW,https://www.familylaw.com.au/lawyer/amanda-jane-alidenes/
firm,Alison McInnes Lawyers,,,,,,https://amcinneslaw.com.au,,,https://www.familylaw.com.au/law-practice/alison-mcinnes-lawyers/
lawyer,Alison McInnes Lawyers,Alison McInnes,Lawyer,,,https://www.linkedin.com/company/familylawau/,https://amcinneslaw.com.au,,,https://www.familylaw.com.au/lawyer/alison-mcinnes/
firm,Allison Rowe Family Lawyers,,,,enquiries@allisonrowe.com.au,,https://www.allisonrowe.com.au/,"60 Moorabool St, Geelong VIC 3220",VIC,https://www.familylaw.com.au/law-practice/allison-rowe-family-lawyers/
lawyer,Allison Rowe Family Lawyers,Rosemaree Bourke,Lawyer,,,https://www.linkedin.com/company/allison-rowe-family-lawyers/,https://www.allisonrowe.com.au/,"60 Moorabool St, Geelong VIC 3220",VIC,https://www.familylaw.com.au/lawyer/rosemaree-bourke/
firm,Anderson Family Lawyers,,,,,,https://andersonfamilylawyers.com.au/,"19 Cabot Dr, Altona North VIC 3025",VIC,https://www.familylaw.com.au/law-practice/anderson-family-lawyers-vic/
lawyer,Anderson Family Lawyers,Lucy Padula,Principal,,,https://www.linkedin.com/company/anderson-family-lawyers/,https://andersonfamilylawyers.com.au/,"19 Cabot Dr, Altona North VIC 3025",VIC,https://www.familylaw.com.au/lawyer/lucy-padula/
firm,Andersons Solicitors,,,,enquiry@andersons.com.au,,https://www.andersons.com.au,"53/69 Franklin St, Adelaide SA 5000",SA,https://www.familylaw.com.au/law-practice/andersons-solicitors/
lawyer,Andersons Solicitors,Ryan Thomas,Partner,,,https://www.linkedin.com/in/ryanthomasfamilylawyer/,https://www.andersons.com.au,"53/69 Franklin St, Adelaide SA 5000",SA,https://www.familylaw.com.au/lawyer/ryan-thomas/
firm,Andrew Warren Associates,,,,,,https://www.andrewwarren.com.au,"8 Page St, Moruya NSW 2537",NSW,https://www.familylaw.com.au/law-practice/andrew-warren-associates/
lawyer,Andrew Warren Associates,Andrew Stuart Warren,Principal Solicitor,,,https://au.linkedin.com/in/andrew-warren-44b4402b,https://www.andrewwarren.com.au,"8 Page St, Moruya NSW 2537",NSW,https://www.familylaw.com.au/lawyer/andrew-stuart-warren/
firm,Anthony Black Family Law,,,,,,http://www.abfls.com.au/,"89 Charlotte St, Brisbane City QLD 4000",QLD,https://www.familylaw.com.au/law-practice/anthony-black-family-law/
lawyer,Anthony Black Family Law,Simone Barbour,Director,,,https://au.linkedin.com/in/simone-barbour-012b6733,http://www.abfls.com.au/,"89 Charlotte St, Brisbane City QLD 4000",QLD,https://www.familylaw.com.au/lawyer/simone-barbour/
firm,ARK Law,,,,admin@arklaw.com.au,,https://www.arklaw.com.au,"186-190 Church St, Parramatta NSW 2150",NSW,https://www.familylaw.com.au/law-practice/ark-law/
lawyer,ARK Law,Katarzyna Rutkowska,Solicitor,,,https://au.linkedin.com/in/katarzyna-rutkowska-abba4375,https://www.arklaw.com.au,"186-190 Church St, Parramatta NSW 2150",NSW,https://www.familylaw.com.au/lawyer/katarzyna-rutkowska/
firm,Arkadia Family Law,,,,admin@arkfl.com.au,,https://www.arkfl.com.au/,"Level 1/10 Oxley Rd, Hawthorn VIC 3122",VIC,https://www.familylaw.com.au/law-practice/arkadia-family-law/
lawyer,Arkadia Family Law,Elizabeth Weldon,Lawyer,,,https://www.linkedin.com/in/lizweldonfamilylawyer/,https://www.arkfl.com.au/,"Level 1/10 Oxley Rd, Hawthorn VIC 3122",VIC,https://www.familylaw.com.au/lawyer/elizabeth-weldon/
firm,ASB Law,,,,reception@asblaw.com.au,,https://www.asblaw.com.au,,,https://www.familylaw.com.au/law-practice/asb-law/
lawyer,ASB Law,Nicola Ashford,Director,,,https://au.linkedin.com/company/asb-law-au,https://www.asblaw.com.au,,,https://www.familylaw.com.au/lawyer/nicola-ashford/
lawyer,ASB Law,Lisa Guagliardo,Senior Associate,,,https://au.linkedin.com/in/lisa-guagliardo-6a6571a6,https://www.asblaw.com.au,,,https://www.familylaw.com.au/lawyer/lisa-guagliardo/
lawyer,ASB Law,Adam Somerville-Brown,Director,,,https://au.linkedin.com/in/adam-somerville-brown-26357550,https://www.asblaw.com.au,,,https://www.familylaw.com.au/lawyer/adam-somerville-brown/
firm,Attwaters,,,,enquiries@attwaters.com.au,,https://www.attwaters.com.au,"42 King St, Newcastle NSW 2300",NSW,https://www.familylaw.com.au/law-practice/attwaters/
lawyer,Attwaters,Gary Jon Fox,Principal,,,https://au.linkedin.com/in/gary-fox-547571142,https://www.attwaters.com.au,"42 King St, Newcastle NSW 2300",NSW,https://www.familylaw.com.au/lawyer/gary-jon-fox/
firm,ATW Family Law,,,,,,https://www.atwfl.com.au,"Level 2/162 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/law-practice/atw-family-law/
lawyer,ATW Family Law,Alex Namisnyk,Director,,,https://www.linkedin.com/in/alex-namisnyk-a43b165a/,https://www.atwfl.com.au,"Level 2/162 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/alex-namisnyk/
lawyer,ATW Family Law,Susan Helen Abrams,Director,,,https://www.linkedin.com/in/sue-abrams-760058a0/,https://www.atwfl.com.au,"Level 2/162 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/susan-helen-abrams/
lawyer,ATW Family Law,Jane Habiba Saltoon,Director,,,https://www.linkedin.com/in/jane-saltoon-bb21b8109/,https://www.atwfl.com.au,"Level 2/162 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/jane-habiba-saltoon/
lawyer,ATW Family Law,Aileen Maria Slattery,Director,,,https://www.linkedin.com/in/aileen-slattery-18603024/,https://www.atwfl.com.au,"Level 2/162 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/aileen-maria-slattery/
lawyer,ATW Family Law,Francesca Tse Jun Wu,Senior Associate,,,https://www.linkedin.com/in/francesca-wu-990598b2/,https://www.atwfl.com.au,"Level 2/162 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/francesca-tse-jun-wu/
lawyer,ATW Family Law,Melanie Judith Stern,Senior Associate,,,https://www.linkedin.com/in/melaniestern/,https://www.atwfl.com.au,"Level 2/162 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/melanie-judith-stern/
lawyer,ATW Family Law,Gabrielle Gathercole,Director,,,https://www.linkedin.com/in/gabrielle-gathercole-052499102/,https://www.atwfl.com.au,"Level 2/162 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/gabrielle-gathercole/
firm,Aughtersons Lawyers,,,,conveyancing%40aughtersons.com.au,,https://www.aughtersons.com.au/,"267 Maroondah Hwy, Ringwood VIC 3134",VIC,https://www.familylaw.com.au/law-practice/aughtersons-lawyers/
lawyer,Aughtersons Lawyers,Philippa Darlow,Lawyer,,,https://www.linkedin.com/company/aughtersons-solicitors/,https://www.aughtersons.com.au/,"267 Maroondah Hwy, Ringwood VIC 3134",VIC,https://www.familylaw.com.au/lawyer/philippa-darlow/
lawyer,Aughtersons Lawyers,Santina Della-Rossa,Principal,,,https://www.linkedin.com/company/aughtersons-solicitors/,https://www.aughtersons.com.au/,"267 Maroondah Hwy, Ringwood VIC 3134",VIC,https://www.familylaw.com.au/lawyer/santina-della-rossa/
firm,Auslex Law Group,,,,,,https://www.auslex.com.au,"Level 45/680 George St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/law-practice/auslex-law-group/
lawyer,Auslex Law Group,Adam Michael Bye,Managing Director,,,https://www.linkedin.com/in/adam-bye-9522b953/,https://www.auslex.com.au,"Level 45/680 George St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/adam-michael-bye/
firm,Australian Family Lawyers (QLD),,,,bookings@australianfamilylawyers.com.au,,https://www.australianfamilylawyers.com.au/locations/brisbane,"Level 5, 40 Creek St, Brisbane QLD 4000",QLD,https://www.familylaw.com.au/law-practice/australian-family-lawyers-brisbane-qld/
lawyer,Australian Family Lawyers (QLD),Damira Hidic,Managing Director,,,https://au.linkedin.com/in/damira-hidic-9909178a,https://www.australianfamilylawyers.com.au/locations/brisbane,"Level 5, 40 Creek St, Brisbane QLD 4000",QLD,https://www.familylaw.com.au/lawyer/damira-hidic/
firm,Aylward Game Solicitors,,,,mail@aylwardgame.com.au,,https://www.aylwardgame.com.au/,"United Service Club, Level 4/183 Wickham Terrace, Brisbane City QLD 4001",QLD,https://www.familylaw.com.au/law-practice/aylward-game-solicitors/
lawyer,Aylward Game Solicitors,Ian Field,Partner,,,https://www.linkedin.com/in/ian-field-b0ba482/,https://www.aylwardgame.com.au/,"United Service Club, Level 4/183 Wickham Terrace, Brisbane City QLD 4001",QLD,https://www.familylaw.com.au/lawyer/ian-field/
firm,B Hayward & Co,,,,//jenny@bhayward.com.au,,https://www.bhayward.com.au,"59/23-27 Macmahon St, Hurstville NSW 2220",NSW,https://www.familylaw.com.au/law-practice/b-hayward-co/
lawyer,B Hayward & Co,Bernard Edward Hayward,Principal Lawyer,,,https://au.linkedin.com/pub/bernie-hayward/23/56b/54a,https://www.bhayward.com.au,"59/23-27 Macmahon St, Hurstville NSW 2220",NSW,https://www.familylaw.com.au/lawyer/bernard-edward-hayward/
firm,Bainbridge Legal,,,,,,https://bainbridgelegal.com.au,"8/154 Marsden St, Parramatta NSW 2150",NSW,https://www.familylaw.com.au/law-practice/bainbridge-legal/
lawyer,Bainbridge Legal,Dean Stuart Bainbridge,Principal Solicitor,,,https://au.linkedin.com/in/dean-bainbridge-45054934,https://bainbridgelegal.com.au,"8/154 Marsden St, Parramatta NSW 2150",NSW,https://www.familylaw.com.au/lawyer/dean-stuart-bainbridge/
firm,Baker Love Lawyers,,,,webenquiries@bakerlove.com.au,,https://bakerlove.com.au,30 Dan Rees Street Wallsend NSW 2287,NSW,https://www.familylaw.com.au/law-practice/baker-love-lawyers/
lawyer,Baker Love Lawyers,Matthew Grant Carney,Partner,,,https://au.linkedin.com/in/matthew-carney-046088122,https://bakerlove.com.au,30 Dan Rees Street Wallsend NSW 2287,NSW,https://www.familylaw.com.au/lawyer/matthew-grant-carney/
lawyer,Baker Love Lawyers,Hayden Daniel Carr,Solicitor,,,https://www.linkedin.com/in/haydencarr/,https://bakerlove.com.au,30 Dan Rees Street Wallsend NSW 2287,NSW,https://www.familylaw.com.au/lawyer/hayden-daniel-carr/
firm,Baker O’Brien & Toll,,,,lawyers@bot.com.au,,http://www.bot.com.au/,"7 Maryborough St, Bundaberg Central QLD 4670",QLD,https://www.familylaw.com.au/law-practice/baker-obrien-toll/
lawyer,Baker O’Brien & Toll,Christopher Rowe,Partner,,,https://www.linkedin.com/company/familylawau/,http://www.bot.com.au/,"7 Maryborough St, Bundaberg Central QLD 4670",QLD,https://www.familylaw.com.au/lawyer/christopher-rowe/
firm,Ballarat & Grampians Community Legal Service,,,,help@alliedjustice.org.au,,https://bgcls.org.au/,"5 Chancery Ln, Ballarat Central VIC 3350",VIC,https://www.familylaw.com.au/law-practice/ballarat-grampians-community-legal-service/
lawyer,Ballarat & Grampians Community Legal Service,Helen Matthews,Volunteer,,,https://www.linkedin.com/company/ballarat-&-grampians-community-legal-service/,https://bgcls.org.au/,"5 Chancery Ln, Ballarat Central VIC 3350",VIC,https://www.familylaw.com.au/lawyer/helen-matthews/
firm,Ballarat Lawyers,,,,admin@ballaratlawyers.com.au,,https://www.ballaratlawyers.com.au/,"42 Lydiard St S, Ballarat Central VIC 3350",VIC,https://www.familylaw.com.au/law-practice/ballarat-lawyers/
lawyer,Ballarat Lawyers,Annette Stone,Principal,,,https://au.linkedin.com/in/annettestone,https://www.ballaratlawyers.com.au/,"42 Lydiard St S, Ballarat Central VIC 3350",VIC,https://www.familylaw.com.au/lawyer/annette-stone/
firm,Barbayannis Lawyers,,,,info@barbayannislaw.com.au,,https://www.barbayannislaw.com.au/,"599 Canterbury Rd, Surrey Hills VIC 3127",VIC,https://www.familylaw.com.au/law-practice/barbayannis-lawyers/
lawyer,Barbayannis Lawyers,Melissa Pandeli,Lawyer,,,https://www.linkedin.com/company/barbayannis-lawyers/,https://www.barbayannislaw.com.au/,"599 Canterbury Rd, Surrey Hills VIC 3127",VIC,https://www.familylaw.com.au/lawyer/melissa-pandeli/
firm,Barkus Doolan Winning,,,,enquiry@famlaw.com.au,,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/law-practice/barkus-doolan-winning/
lawyer,Barkus Doolan Winning,Carly Jane Middleton,Partner,,,https://au.linkedin.com/in/carly-middleton-425aa2a7,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/carly-jane-middleton/
lawyer,Barkus Doolan Winning,Paul Andrew Doolan,Partner,,,https://au.linkedin.com/in/paul-doolan-8719018,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/paul-andrew-doolan/
lawyer,Barkus Doolan Winning,Shannon Lee Rogers,Partner,,,https://au.linkedin.com/in/shannon-rogers-a6b30326,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/shannon-lee-rogers/
lawyer,Barkus Doolan Winning,Heng-Ying (Mandy) Chang,Special Counsel,,,https://au.linkedin.com/in/mandy-chang-65655923,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/heng-ying-mandy-chang/
lawyer,Barkus Doolan Winning,Jeffrey Paul Marhinin,Partner,,,https://au.linkedin.com/in/jeff-marhinin-4837454a,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/jeffrey-paul-marhinin/
lawyer,Barkus Doolan Winning,Melinda Maree Winning,Partner,,,https://au.linkedin.com/in/melinda-winning-22689a29,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/melinda-maree-winning/
lawyer,Barkus Doolan Winning,Jayson Paul McCauley,Partner,,,https://au.linkedin.com/in/jayson-mccauley-6776b71a,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/jayson-paul-mccauley/
lawyer,Barkus Doolan Winning,Emma Kate Shuttleworth,Senior Associate,,,https://au.linkedin.com/in/emma-shuttleworth-394155a7,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/emma-kate-shuttleworth/
lawyer,Barkus Doolan Winning,Vanessa Mary Jackson,Special Counsel,,,https://au.linkedin.com/in/vanessa-jackson-7b1110180,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/vanessa-mary-jackson/
lawyer,Barkus Doolan Winning,Jessica Alana Tasso,Senior Associate,,,https://au.linkedin.com/in/jessica-tasso-0895b5121,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/jessica-alana-tasso/
lawyer,Barkus Doolan Winning,Megan Day,Senior Associate,,,https://au.linkedin.com/in/megan-day-995b07b7,https://familylawyers.com.au,"Level 24/66 Goulburn St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/megan-day/
firm,Barr Family Law,,,,,,https://barrfamilylaw.com.au,"167 Flinders St, Adelaide SA 5000",SA,https://www.familylaw.com.au/law-practice/barr-family-law/
lawyer,Barr Family Law,Stuart Barr,Principal,,,https://www.linkedin.com/in/stuart-barr-3ba4518/,https://barrfamilylaw.com.au,"167 Flinders St, Adelaide SA 5000",SA,https://www.familylaw.com.au/lawyer/stuart-barr/
firm,Barram Family Law,,,,,,https://barramfamilylaw.com.au/,"Level 2/280 Flinders St, Townsville City QLD 4810",QLD,https://www.familylaw.com.au/law-practice/barram-family-law/
lawyer,Barram Family Law,Anita Chand,Senior Associate,,,https://au.linkedin.com/in/anita-chand-5b1529150,https://barramfamilylaw.com.au/,"Level 2/280 Flinders St, Townsville City QLD 4810",QLD,https://www.familylaw.com.au/lawyer/anita-chand/
firm,Barry Family Law,,,,wbarry@barryfamilylaw.com.au,,https://barryfamilylaw.com.au,"George House, Level 1, Suite 7, 207 The Parade, Norwood, SA, 5067",SA,https://www.familylaw.com.au/law-practice/barry-family-law/
lawyer,Barry Family Law,Wendy Barry,Principal,,,https://www.linkedin.com/in/wendy-barry-74379815/,https://barryfamilylaw.com.au,"George House, Level 1, Suite 7, 207 The Parade, Norwood, SA, 5067",SA,https://www.familylaw.com.au/lawyer/wendy-barry/
firm,Barry Nilsson (NSW),,,,,,https://bnlaw.com.au,"Level 9/1 O’Connell St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/law-practice/barry-nilsson/
lawyer,Barry Nilsson (NSW),Bryan Do,Senior Associate,,,https://au.linkedin.com/in/bryan-do,https://bnlaw.com.au,"Level 9/1 O’Connell St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/bryan-do/
lawyer,Barry Nilsson (NSW),Genevieve Louise Morgan,Principal,,,https://au.linkedin.com/in/genevievemorgan,https://bnlaw.com.au,"Level 9/1 O’Connell St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/genevieve-louise-morgan/
lawyer,Barry Nilsson (NSW),Maya Veronica Sen,Principal,,,https://www.linkedin.com/company/barrynilsson,https://bnlaw.com.au,"Level 9/1 O’Connell St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/maya-veronica-sen/
firm,Barry Nilsson (QLD),,,,,,http://www.bnlaw.com.au/,"Level 14/345 Queen St, Brisbane City QLD 4000",QLD,https://www.familylaw.com.au/law-practice/barry-nilsson-qld/
lawyer,Barry Nilsson (QLD),Scott Wedgwood,Principal,,,https://au.linkedin.com/in/scottwedgwood,http://www.bnlaw.com.au/,"Level 14/345 Queen St, Brisbane City QLD 4000",QLD,https://www.familylaw.com.au/lawyer/scott-wedgwood/
lawyer,Barry Nilsson (QLD),Thea Davies,Principal,,,https://au.linkedin.com/in/thea-davies-3a961ba3,http://www.bnlaw.com.au/,"Level 14/345 Queen St, Brisbane City QLD 4000",QLD,https://www.familylaw.com.au/lawyer/thea-davies/
lawyer,Barry Nilsson (QLD),Matthew Hempstead,Principal,,,https://au.linkedin.com/in/matthempstead,http://www.bnlaw.com.au/,"Level 14/345 Queen St, Brisbane City QLD 4000",QLD,https://www.familylaw.com.au/lawyer/matthew-hempstead/
lawyer,Barry Nilsson (QLD),James Steel,Principal,,,https://au.linkedin.com/in/jameshsteel,http://www.bnlaw.com.au/,"Level 14/345 Queen St, Brisbane City QLD 4000",QLD,https://www.familylaw.com.au/lawyer/james-steel/
lawyer,Barry Nilsson (QLD),Geoffrey Sinclair,Principal,,,https://au.linkedin.com/in/geoffreysinclair,http://www.bnlaw.com.au/,"Level 14/345 Queen St, Brisbane City QLD 4000",QLD,https://www.familylaw.com.au/lawyer/geoffrey-sinclair/
firm,Barry Nilsson (VIC),,,,,,https://www.bnlaw.com.au/,"11/600 Bourke St, Melbourne VIC 3000",VIC,https://www.familylaw.com.au/law-practice/barry-nilsson-vic/
lawyer,Barry Nilsson (VIC),William Stidston,Principal,,,https://au.linkedin.com/in/will-stidston-b4201952,https://www.bnlaw.com.au/,"11/600 Bourke St, Melbourne VIC 3000",VIC,https://www.familylaw.com.au/lawyer/william-stidston/
firm,Bartier Perry,,,,,,https://www.bartier.com.au,"Level 25/161 Castlereagh St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/law-practice/bartier-perry/
lawyer,Bartier Perry,Fiona Mary Hoad,Partner,,,https://au.linkedin.com/in/fiona-hoad-20355a8,https://www.bartier.com.au,"Level 25/161 Castlereagh St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/fiona-mary-hoad/
